pokedex_number,name,german_name,japanese_name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden
38,Ninetales,Vulnona,キュウコン (Kyukon),1,Normal,Fox Pokémon,Fire,,1.1,19.9,Flash Fire,,Drought
38,Alolan Ninetales,Vulnona,キュウコン (Kyukon),1,Normal,Fox Pokémon,Ice,Fairy,1.1,19.9,Snow Cloak,,Snow Warning
39,Jigglypuff,Pummeluff,プリン (Purin),1,Normal,Balloon Pokémon,Normal,Fairy,0.5,5.5,Cute Charm,Competitive,Friend Guard
40,Wigglytuff,Knuddeluff,プクリン (Pukurin),1,Normal,Balloon Pokémon,Normal,Fairy,1,12,Cute Charm,Competitive,Frisk
41,Zubat,Zubat,ズバット (Zubat),1,Normal,Bat Pokémon,Poison,Flying,0.8,7.5,Inner Focus,,Infiltrator
42,Golbat,Golbat,ゴルバット (Golbat),1,Normal,Bat Pokémon,Poison,Flying,1.6,55,Inner Focus,,Infiltrator
43,Oddish,Myrapla,ナゾノクサ (Nazonokusa),1,Normal,Weed Pokémon,Grass,Poison,0.5,5.4,Chlorophyll,,Run Away
44,Gloom,Duflor,クサイハナ (Kusaihana),1,Normal,Weed Pokémon,Grass,Poison,0.8,8.6,Chlorophyll,,Stench
45,Vileplume,Giflor,ラフレシア (Ruffresia),1,Normal,Flower Pokémon,Grass,Poison,1.2,18.6,Chlorophyll,,Effect Spore
46,Paras,Paras,パラス (Paras),1,Normal,Mushroom Pokémon,Bug,Grass,0.3,5.4,Effect Spore,Dry Skin,Damp
47,Parasect,Parasek,パラセクト (Parasect),1,Normal,Mushroom Pokémon,Bug,Grass,1,29.5,Effect Spore,Dry Skin,Damp
48,Venonat,Bluzuk,コンパン (Kongpang),1,Normal,Insect Pokémon,Bug,Poison,1,30,Compound Eyes,Tinted Lens,Run Away
49,Venomoth,Omot,モルフォン (Morphon),1,Normal,Poison Moth Pokémon,Bug,Poison,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin
50,Diglett,Digda,ディグダ (Digda),1,Normal,Mole Pokémon,Ground,,0.2,0.8,Sand Veil,Arena Trap,Sand Force
50,Alolan Diglett,Digda,ディグダ (Digda),1,Normal,Mole Pokémon,Ground,Steel,0.2,1,Sand Veil,Tangling Hair,Sand Force
51,Dugtrio,Digdri,ダグトリオ (Dugtrio),1,Normal,Mole Pokémon,Ground,,0.7,33.3,Sand Veil,Arena Trap,Sand Force
51,Alolan Dugtrio,Digdri,ダグトリオ (Dugtrio),1,Normal,Mole Pokémon,Ground,Steel,0.7,66.6,Sand Veil,Tangling Hair,Sand Force
52,Meowth,Mauzi,ニャース (Nyarth),1,Normal,Scratch Cat Pokémon,Normal,,0.4,4.2,Pickup,Technician,Unnerve
52,Alolan Meowth,Mauzi,ニャース (Nyarth),1,Normal,Scratch Cat Pokémon,Dark,,0.4,4.2,Pickup,Technician,Rattled
52,Galarian Meowth,Mauzi,ニャース (Nyarth),1,Normal,Scratch Cat Pokémon,Steel,,0.4,7.5,Pickup,Tough Claws,Unnerve
53,Persian,Snobilikat,ペルシアン (Persian),1,Normal,Classy Cat Pokémon,Normal,,1,32,Limber,Technician,Unnerve
53,Alolan Persian,Snobilikat,ペルシアン (Persian),1,Normal,Classy Cat Pokémon,Dark,,1.1,33,Fur Coat,Technician,Rattled
54,Psyduck,Enton,コダック (Koduck),1,Normal,Duck Pokémon,Water,,0.8,19.6,Damp,Cloud Nine,Swift Swim
55,Golduck,Entoron,ゴルダック (Golduck),1,Normal,Duck Pokémon,Water,,1.7,76.6,Damp,Cloud Nine,Swift Swim
56,Mankey,Menki,マンキー (Mankey),1,Normal,Pig Monkey Pokémon,Fighting,,0.5,28,Vital Spirit,Anger Point,Defiant
57,Primeape,Rasaff,オコリザル (Okorizaru),1,Normal,Pig Monkey Pokémon,Fighting,,1,32,Vital Spirit,Anger Point,Defiant
58,Growlithe,Fukano,ガーディ (Gardie),1,Normal,Puppy Pokémon,Fire,,0.7,19,Intimidate,Flash Fire,Justified
59,Arcanine,Arkani,ウインディ (Windie),1,Normal,Legendary Pokémon,Fire,,1.9,155,Intimidate,Flash Fire,Justified
60,Poliwag,Quapsel,ニョロモ (Nyoromo),1,Normal,Tadpole Pokémon,Water,,0.6,12.4,Water Absorb,Damp,Swift Swim
61,Poliwhirl,Quaputzi,ニョロゾ (Nyorozo),1,Normal,Tadpole Pokémon,Water,,1,20,Water Absorb,Damp,Swift Swim
62,Poliwrath,Quappo,ニョロボン (Nyorobon),1,Normal,Tadpole Pokémon,Water,Fighting,1.3,54,Water Absorb,Damp,Swift Swim
63,Abra,Abra,ケーシィ (Casey),1,Normal,Psi Pokémon,Psychic,,0.9,19.5,Synchronize,Inner Focus,Magic Guard
64,Kadabra,Kadabra,ユンゲラー (Yungerer),1,Normal,Psi Pokémon,Psychic,,1.3,56.5,Synchronize,Inner Focus,Magic Guard
65,Alakazam,Simsala,フーディン (Foodin),1,Normal,Psi Pokémon,Psychic,,1.5,48,Synchronize,Inner Focus,Magic Guard
65,Mega Alakazam,Simsala,フーディン (Foodin),1,Normal,Psi Pokémon,Psychic,,1.2,48,Trace,,
66,Machop,Machollo,ワンリキー (Wanriky),1,Normal,Superpower Pokémon,Fighting,,0.8,19.5,Guts,No Guard,Steadfast
67,Machoke,Maschock,ゴーリキー (Goriky),1,Normal,Superpower Pokémon,Fighting,,1.5,70.5,Guts,No Guard,Steadfast
68,Machamp,Machomei,カイリキー (Kairiky),1,Normal,Superpower Pokémon,Fighting,,1.6,130,Guts,No Guard,Steadfast
69,Bellsprout,Knofensa,マダツボミ (Madatsubomi),1,Normal,Flower Pokémon,Grass,Poison,0.7,4,Chlorophyll,,Gluttony
70,Weepinbell,Ultrigaria,ウツドン (Utsudon),1,Normal,Flycatcher Pokémon,Grass,Poison,1,6.4,Chlorophyll,,Gluttony
71,Victreebel,Sarzenia,ウツボット (Utsubot),1,Normal,Flycatcher Pokémon,Grass,Poison,1.7,15.5,Chlorophyll,,Gluttony
72,Tentacool,Tentacha,メノクラゲ (Menokurage),1,Normal,Jellyfish Pokémon,Water,Poison,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish
73,Tentacruel,Tentoxa,ドククラゲ (Dokukurage),1,Normal,Jellyfish Pokémon,Water,Poison,1.6,55,Clear Body,Liquid Ooze,Rain Dish
74,Geodude,Kleinstein,イシツブテ (Isitsubute),1,Normal,Rock Pokémon,Rock,Ground,0.4,20,Rock Head,Sturdy,Sand Veil
74,Alolan Geodude,Kleinstein,イシツブテ (Isitsubute),1,Normal,Rock Pokémon,Rock,Electric,0.4,20.3,Magnet Pull,Sturdy,Galvanize
75,Graveler,Georok,ゴローン (Golone),1,Normal,Rock Pokémon,Rock,Ground,1,105,Rock Head,Sturdy,Sand Veil
75,Alolan Graveler,Georok,ゴローン (Golone),1,Normal,Rock Pokémon,Rock,Electric,1,110,Magnet Pull,Sturdy,Galvanize
76,Golem,Geowaz,ゴローニャ (Golonya),1,Normal,Megaton Pokémon,Rock,Ground,1.4,300,Rock Head,Sturdy,Sand Veil
76,Alolan Golem,Geowaz,ゴローニャ (Golonya),1,Normal,Megaton Pokémon,Rock,Electric,1.7,316,Magnet Pull,Sturdy,Galvanize
77,Ponyta,Ponita,ポニータ (Ponyta),1,Normal,Fire Horse Pokémon,Fire,,1,30,Run Away,Flash Fire,Flame Body
77,Galarian Ponyta,Ponita,ポニータ (Ponyta),1,Normal,Unique Horn Pokémon,Psychic,,0.8,24,Run Away,Pastel Veil,Anticipation
78,Rapidash,Gallopa,ギャロップ (Gallop),1,Normal,Fire Horse Pokémon,Fire,,1.7,95,Run Away,Flash Fire,Flame Body
78,Galarian Rapidash,Gallopa,ギャロップ (Gallop),1,Normal,Unique Horn Pokémon,Psychic,Fairy,1.7,80,Run Away,Pastel Veil,Anticipation
79,Slowpoke,Flegmon,ヤドン (Yadon),1,Normal,Dopey Pokémon,Water,Psychic,1.2,36,Oblivious,Own Tempo,Regenerator
79,Galarian Slowpoke,Flegmon,ヤドン (Yadon),8,Normal,Dopey Pokémon,Psychic,,1.2,36,Gluttony,Own Tempo,Regenerator
80,Slowbro,Lahmus,ヤドラン (Yadoran),1,Normal,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,Oblivious,Own Tempo,Regenerator
80,Mega Slowbro,Lahmus,ヤドラン (Yadoran),1,Normal,Hermit Crab Pokémon,Water,Psychic,2,120,Shell Armor,,
80,Galarian Slowbro,Lahmus,ヤドラン (Yadoran),8,Normal,Hermit Crab Pokémon,Poison,Psychic,1.6,70.5,Quick Draw,Own Tempo,Regenerator
81,Magnemite,Magnetilo,コイル (Coil),1,Normal,Magnet Pokémon,Electric,Steel,0.3,6,Magnet Pull,Sturdy,Analytic
82,Magneton,Magneton,レアコイル (Rarecoil),1,Normal,Magnet Pokémon,Electric,Steel,1,60,Magnet Pull,Sturdy,Analytic
83,Farfetch'd,Porenta,カモネギ (Kamonegi),1,Normal,Wild Duck Pokémon,Normal,Flying,0.8,15,Keen Eye,Inner Focus,Defiant
83,Galarian Farfetch'd,Porenta,カモネギ (Kamonegi),1,Normal,Wild Duck Pokémon,Fighting,,0.8,42,Steadfast,,Scrappy
84,Doduo,Dodu,ドードー (Dodo),1,Normal,Twin Bird Pokémon,Normal,Flying,1.4,39.2,Run Away,Early Bird,Tangled Feet
85,Dodrio,Dodri,ドードリオ (Dodorio),1,Normal,Triple Bird Pokémon,Normal,Flying,1.8,85.2,Run Away,Early Bird,Tangled Feet
86,Seel,Jurob,パウワウ (Pawou),1,Normal,Sea Lion Pokémon,Water,,1.1,90,Thick Fat,Hydration,Ice Body
87,Dewgong,Jugong,ジュゴン (Jugon),1,Normal,Sea Lion Pokémon,Water,Ice,1.7,120,Thick Fat,Hydration,Ice Body
88,Grimer,Sleima,ベトベター (Betbeter),1,Normal,Sludge Pokémon,Poison,,0.9,30,Stench,Sticky Hold,Poison Touch
88,Alolan Grimer,Sleima,ベトベター (Betbeter),1,Normal,Sludge Pokémon,Poison,Dark,0.7,42,Poison Touch,Gluttony,Power of Alchemy
89,Muk,Sleimok,ベトベトン (Betbeton),1,Normal,Sludge Pokémon,Poison,,1.2,30,Stench,Sticky Hold,Poison Touch
89,Alolan Muk,Sleimok,ベトベトン (Betbeton),1,Normal,Sludge Pokémon,Poison,Dark,1,52,Poison Touch,Gluttony,Power of Alchemy
90,Shellder,Muschas,シェルダー (Shellder),1,Normal,Bivalve Pokémon,Water,,0.3,4,Shell Armor,Skill Link,Overcoat
91,Cloyster,Austos,パルシェン (Parshen),1,Normal,Bivalve Pokémon,Water,Ice,1.5,132.5,Shell Armor,Skill Link,Overcoat
92,Gastly,Nebulak,ゴース (Ghos),1,Normal,Gas Pokémon,Ghost,Poison,1.3,0.1,Levitate,,
93,Haunter,Alpollo,ゴースト (Ghost),1,Normal,Gas Pokémon,Ghost,Poison,1.6,0.1,Levitate,,
94,Gengar,Gengar,ゲンガー (Gangar),1,Normal,Shadow Pokémon,Ghost,Poison,1.5,40.5,Cursed Body,,
94,Mega Gengar,Gengar,ゲンガー (Gangar),1,Normal,Shadow Pokémon,Ghost,Poison,1.4,40.5,Shadow Tag,,
95,Onix,Onix,イワーク (Iwark),1,Normal,Rock Snake Pokémon,Rock,Ground,8.8,210,Rock Head,Sturdy,Weak Armor
96,Drowzee,Traumato,スリープ (Sleepe),1,Normal,Hypnosis Pokémon,Psychic,,1,32.4,Insomnia,Forewarn,Inner Focus
97,Hypno,Hypno,スリーパー (Sleeper),1,Normal,Hypnosis Pokémon,Psychic,,1.6,75.6,Insomnia,Forewarn,Inner Focus
98,Krabby,Krabby,クラブ (Crab),1,Normal,River Crab Pokémon,Water,,0.4,6.5,Hyper Cutter,Shell Armor,Sheer Force
99,Kingler,Kingler,キングラー (Kingler),1,Normal,Pincer Pokémon,Water,,1.3,60,Hyper Cutter,Shell Armor,Sheer Force
100,Voltorb,Voltobal,ビリリダマ (Biriridama),1,Normal,Ball Pokémon,Electric,,0.5,10.4,Soundproof,Static,Aftermath
101,Electrode,Lektrobal,マルマイン (Marumine),1,Normal,Ball Pokémon,Electric,,1.2,66.6,Soundproof,Static,Aftermath
102,Exeggcute,Owei,タマタマ (Tamatama),1,Normal,Egg Pokémon,Grass,Psychic,0.4,2.5,Chlorophyll,,Harvest
103,Exeggutor,Kokowei,ナッシー (Nassy),1,Normal,Coconut Pokémon,Grass,Psychic,2,120,Chlorophyll,,Harvest
103,Alolan Exeggutor,Kokowei,ナッシー (Nassy),1,Normal,Coconut Pokémon,Grass,Dragon,10.9,415.6,Frisk,,Harvest
104,Cubone,Tragosso,カラカラ (Karakara),1,Normal,Lonely Pokémon,Ground,,0.4,6.5,Rock Head,Lightning Rod,Battle Armor
105,Marowak,Knogga,ガラガラ (Garagara),1,Normal,Bone Keeper Pokémon,Ground,,1,45,Rock Head,Lightning Rod,Battle Armor
105,Alolan Marowak,Knogga,ガラガラ (Garagara),1,Normal,Bone Keeper Pokémon,Fire,Ghost,1,34,Cursed Body,Lightning Rod,Rock Head
106,Hitmonlee,Kicklee,サワムラー (Sawamular),1,Normal,Kicking Pokémon,Fighting,,1.5,49.8,Limber,Reckless,Unburden
107,Hitmonchan,Nockchan,エビワラー (Ebiwalar),1,Normal,Punching Pokémon,Fighting,,1.4,50.2,Keen Eye,Iron Fist,Inner Focus
108,Lickitung,Schlurp,ベロリンガ (Beroringa),1,Normal,Licking Pokémon,Normal,,1.2,65.5,Own Tempo,Oblivious,Cloud Nine
109,Koffing,Smogon,ドガース (Dogars),1,Normal,Poison Gas Pokémon,Poison,,0.6,1,Levitate,Neutralizing Gas,Stench
110,Weezing,Smogmog,マタドガス (Matadogas),1,Normal,Poison Gas Pokémon,Poison,,1.2,9.5,Levitate,Neutralizing Gas,Stench
110,Galarian Weezing,Smogmog,マタドガス (Matadogas),1,Normal,Poison Gas Pokémon,Poison,Fairy,3,16,Levitate,Neutralizing Gas,Misty Surge
111,Rhyhorn,Rihorn,サイホーン (Sihorn),1,Normal,Spikes Pokémon,Ground,Rock,1,115,Lightning Rod,Rock Head,Reckless
112,Rhydon,Rizeros,サイドン (Sidon),1,Normal,Drill Pokémon,Ground,Rock,1.9,120,Lightning Rod,Rock Head,Reckless
113,Chansey,Chaneira,ラッキー (Lucky),1,Normal,Egg Pokémon,Normal,,1.1,34.6,Natural Cure,Serene Grace,Healer
114,Tangela,Tangela,モンジャラ (Monjara),1,Normal,Vine Pokémon,Grass,,1,35,Chlorophyll,Leaf Guard,Regenerator
115,Kangaskhan,Kangama,ガルーラ (Garura),1,Normal,Parent Pokémon,Normal,,2.2,80,Early Bird,Scrappy,Inner Focus
115,Mega Kangaskhan,Kangama,ガルーラ (Garura),1,Normal,Parent Pokémon,Normal,,2.2,100,Parental Bond,,
116,Horsea,Seeper,タッツー (Tattu),1,Normal,Dragon Pokémon,Water,,0.4,8,Swift Swim,Sniper,Damp
117,Seadra,Seemon,シードラ (Seadra),1,Normal,Dragon Pokémon,Water,,1.2,25,Poison Point,Sniper,Damp
118,Goldeen,Goldini,トサキント (Tosakinto),1,Normal,Goldfish Pokémon,Water,,0.6,15,Swift Swim,Water Veil,Lightning Rod
119,Seaking,Golking,アズマオウ (Azumao),1,Normal,Goldfish Pokémon,Water,,1.3,39,Swift Swim,Water Veil,Lightning Rod
120,Staryu,Sterndu,ヒトデマン (Hitodeman),1,Normal,Star Shape Pokémon,Water,,0.8,34.5,Illuminate,Natural Cure,Analytic
121,Starmie,Starmie,スターミー (Starmie),1,Normal,Mysterious Pokémon,Water,Psychic,1.1,80,Illuminate,Natural Cure,Analytic
122,Mr. Mime,Pantimos,バリヤード (Barrierd),1,Normal,Barrier Pokémon,Psychic,Fairy,1.3,54.5,Soundproof,Filter,Technician
122,Galarian Mr. Mime,Pantimos,バリヤード (Barrierd),1,Normal,Dancing Pokémon,Psychic,Ice,1.4,56.8,Vital Spirit,Screen Cleaner,Ice Body
123,Scyther,Sichlor,ストライク (Strike),1,Normal,Mantis Pokémon,Bug,Flying,1.5,56,Swarm,Technician,Steadfast
124,Jynx,Rossana,ルージュラ (Rougela),1,Normal,Human Shape Pokémon,Ice,Psychic,1.4,40.6,Oblivious,Forewarn,Dry Skin
125,Electabuzz,Elektek,エレブー (Eleboo),1,Normal,Electric Pokémon,Electric,,1.1,30,Static,,Vital Spirit
126,Magmar,Magmar,ブーバー (Boober),1,Normal,Spitfire Pokémon,Fire,,1.3,44.5,Flame Body,,Vital Spirit
127,Pinsir,Pinsir,カイロス (Kailios),1,Normal,Stag Beetle Pokémon,Bug,,1.5,55,Hyper Cutter,Mold Breaker,Moxie
127,Mega Pinsir,Pinsir,カイロス (Kailios),1,Normal,Stag Beetle Pokémon,Bug,Flying,1.7,59,Aerilate,,
128,Tauros,Tauros,ケンタロス (Kentauros),1,Normal,Wild Bull Pokémon,Normal,,1.4,88.4,Intimidate,Anger Point,Sheer Force
129,Magikarp,Karpador,コイキング (Koiking),1,Normal,Fish Pokémon,Water,,0.9,10,Swift Swim,,Rattled
130,Gyarados,Garados,ギャラドス (Gyarados),1,Normal,Atrocious Pokémon,Water,Flying,6.5,235,Intimidate,,Moxie
130,Mega Gyarados,Garados,ギャラドス (Gyarados),1,Normal,Atrocious Pokémon,Water,Dark,6.5,305,Mold Breaker,,
131,Lapras,Lapras,ラプラス (Laplace),1,Normal,Transport Pokémon,Water,Ice,2.5,220,Water Absorb,Shell Armor,Hydration
132,Ditto,Ditto,メタモン (Metamon),1,Normal,Transform Pokémon,Normal,,0.3,4,Limber,,Imposter
133,Eevee,Evoli,イーブイ (Eievui),1,Normal,Evolution Pokémon,Normal,,0.3,6.5,Run Away,Adaptability,Anticipation
133,Partner Eevee,Evoli,イーブイ (Eievui),1,Normal,Evolution Pokémon,Normal,,0.3,6.5,,,Anticipation
134,Vaporeon,Aquana,シャワーズ (Showers),1,Normal,Bubble Jet Pokémon,Water,,1,29,Water Absorb,,Hydration
135,Jolteon,Blitza,サンダース (Thunders),1,Normal,Lightning Pokémon,Electric,,0.8,24.5,Volt Absorb,,Quick Feet
136,Flareon,Flamara,ブースター (Booster),1,Normal,Flame Pokémon,Fire,,0.9,25,Flash Fire,,Guts
137,Porygon,Porygon,ポリゴン (Porygon),1,Normal,Virtual Pokémon,Normal,,0.8,36.5,Trace,Download,Analytic
138,Omanyte,Amonitas,オムナイト (Omnite),1,Normal,Spiral Pokémon,Rock,Water,0.4,7.5,Swift Swim,Shell Armor,Weak Armor
139,Omastar,Amoroso,オムスター (Omstar),1,Normal,Spiral Pokémon,Rock,Water,1,35,Swift Swim,Shell Armor,Weak Armor
140,Kabuto,Kabuto,カブト (Kabuto),1,Normal,Shellfish Pokémon,Rock,Water,0.5,11.5,Swift Swim,Battle Armor,Weak Armor
141,Kabutops,Kabutops,カブトプス (Kabutops),1,Normal,Shellfish Pokémon,Rock,Water,1.3,40.5,Swift Swim,Battle Armor,Weak Armor
142,Aerodactyl,Aerodactyl,プテラ (Ptera),1,Normal,Fossil Pokémon,Rock,Flying,1.8,59,Rock Head,Pressure,Unnerve
142,Mega Aerodactyl,Aerodactyl,プテラ (Ptera),1,Normal,Fossil Pokémon,Rock,Flying,2.1,79,Tough Claws,,
143,Snorlax,Relaxo,カビゴン (Kabigon),1,Normal,Sleeping Pokémon,Normal,,2.1,460,Immunity,Thick Fat,Gluttony
144,Articuno,Arktos,フリーザー (Freezer),1,Sub Legendary,Freeze Pokémon,Ice,Flying,1.7,55.4,Pressure,,Snow Cloak
144,Galarian Articuno,Arktos,フリーザー (Freezer),8,Sub Legendary,Cruel Pokémon,Psychic,Flying,1.7,50.9,Competitive,,
145,Zapdos,Zapdos,サンダー (Thunder),1,Sub Legendary,Electric Pokémon,Electric,Flying,1.6,52.6,Pressure,,Static
145,Galarian Zapdos,Zapdos,サンダー (Thunder),8,Sub Legendary,Strong Legs Pokémon,Fighting,Flying,1.6,58.2,Defiant,,
146,Moltres,Lavados,ファイヤー (Fire),1,Sub Legendary,Flame Pokémon,Fire,Flying,2,60,Pressure,,Flame Body
146,Galarian Moltres,Lavados,ファイヤー (Fire),8,Sub Legendary,Malevolent Pokémon,Dark,Flying,2,66,Berserk,,
147,Dratini,Dratini,ミニリュウ (Miniryu),1,Normal,Dragon Pokémon,Dragon,,1.8,3.3,Shed Skin,,Marvel Scale
148,Dragonair,Dragonir,ハクリュー (Hakuryu),1,Normal,Dragon Pokémon,Dragon,,4,16.5,Shed Skin,,Marvel Scale
149,Dragonite,Dragoran,カイリュー (Kairyu),1,Normal,Dragon Pokémon,Dragon,Flying,2.2,210,Inner Focus,,Multiscale
